Numero;Annee;Grand Prix;Ecurie;Constructeur;Moteur;Pneu;Grille;Course;Remarques;Spectateurs;
1;1991;Belgique;Team 7Up Jordan;Jordan;Ford Cosworth;Goodyear;7;ab;Embrayage;70094;
2;1991;Italie;Camel Benetton Ford;Benetton;Ford Cosworth;Pirelli;7;5;;94454;
3;1991;Portugal;Camel Benetton Ford;Benetton;Ford Cosworth;Pirelli;10;6;;96137;
4;1991;Espagne;Camel Benetton Ford;Benetton;Ford Cosworth;Pirelli;5;6;;55119;
5;1991;Japon;Camel Benetton Ford;Benetton;Ford Cosworth;Pirelli;9;ab;Moteur;90587;
6;1991;Australie;Camel Benetton Ford;Benetton;Ford Cosworth;Pirelli;6;ab;Accrochage;59747;
7;1992;Afrique du Sud;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;6;4;;53321;
8;1992;Mexique;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;3;3;;96660;
9;1992;Bresil;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;5;3;;65745;
10;1992;Espagne;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;2;2;;68823;
11;1992;Saint-Marin;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;5;ab;Tete-a-queue;91003;
12;1992;Monaco;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;6;4;;66680;
13;1992;Canada;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;5;2;;70609;
14;1992;France;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;5;ab;Accrochage;96057;
15;1992;Grande Bretagne;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;4;4;;99043;
16;1992;Allemagne;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;6;3;;78643;
17;1992;Hongrie;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;4;ab;Tete-a-queue;63068;
18;1992;Belgique;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;3;1;;68070;
19;1992;Italie;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;6;3;;97994;
20;1992;Portugal;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;5;7;;68334;
21;1992;Japon;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;5;ab;Boite de vitesses;83459;
22;1992;Australie;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;5;2;;83167;
23;1993;Afrique du Sud;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;3;ab;Accident;90665;
24;1993;Bresil;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;4;3;;93610;
25;1993;Europe;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;3;ab;Accident;94337;
26;1993;Saint-Marin;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;3;2;;85718;
27;1993;Espagne;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;4;3;;98668;
28;1993;Monaco;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;2;ab;Suspension;52324;
29;1993;Canada;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;3;2;;55320;
30;1993;France;Camel Benetton Ford;Benetton;Ford Cosworth;Goodyear;7;3;;63005;
